,e10.soil.depth,e12.rock.cover,t01alt,awc15,bio01,bio05,bio06,gdd,nfd,rh410,t14stot,species
285,60.0,1.0,1082.721256,16.83187767,81.06826333,229.0215371,-49.46028584,1743.046745,132.6119742,5860.416902,5182029.943,BP
286,49.0,2.0,1079.936745,16.74233175,81.53320515,229.5133268,-49.02846659,1753.898395,131.8311899,5860.816203,5437873.96,BP
287,53.0,1.0,1085.419795,17.10719989,81.60266237,229.588873,-48.96683965,1755.510122,131.6995979,5860.824184,5662061.703,BP
288,47.0,1.0,1089.191614,16.93857139,81.55010659,229.5348282,-49.01808461,1754.267029,131.7742768,5860.757865,5742113.76,BP
289,53.0,2.0,1092.079478,16.63744734,81.47158584,229.4532978,-49.09362712,1752.411082,131.8909132,5860.682413,5809178.258,BP
290,56.0,1.0,1099.259169,16.60009629,81.02111458,228.9762442,-49.50978841,1741.946449,132.6636203,5860.224602,5519239.54,BP
291,40.0,1.0,1073.888479,16.85713494,80.70024989,228.6301382,-49.79996328,1734.43949,133.2381948,5860.204113,5062658.315,BP
292,50.0,1.0,1069.326661,17.38417502,80.06574146,227.9576813,-50.38819916,1719.611719,134.3068235,5859.736173,5113927.286,BP
293,40.0,1.0,1052.337317,16.00408985,82.52477077,230.5543541,-48.09651905,1777.08342,130.2239042,5861.849124,5488652.149,BP
294,50.0,1.0,1050.065409,16.13602213,82.96378135,231.0211507,-47.68981841,1787.395482,129.4890388,5862.025906,5695314.357,BP
295,43.0,2.0,1051.468242,16.09536618,82.9142236,230.9709853,-47.73899089,1786.228001,129.5558822,5861.928447,5813024.674,BP
296,35.0,1.0,1059.535877,16.18824397,82.50266957,230.5362474,-48.12329776,1776.578367,130.23208,5861.636033,5765581.993,BP
